,Time,Date,Year,Month,Day,unique_case_id,official_case_id,type_of_crime,location,year,date,time,victim_sex,offender_sex,number_of_victims,number_of_offenders,Homicide,Hate Crime - Disability,Hate Crime - Gender,Hate Crime - Gender Identity,Hate Crime - Religious,Hate Crime - Sexual orientation,Hate Crime - Racial/Ethnicity,Hate Crime - Ethnicity,Verbal Abuse/Verbal Assault,Property Damage,Drug Offenses,General Assault,Sexual Assault,Sexual Harassment,Property Crimes,Domestic Violence,Missing Person,Traffic Incident,Unclassified,Output,Good_output,lon,lat
129,17:09:00,2023-02-02 20:10:14.182771,2023,2,2,000011_1312387,1312387.0,"Property Damage, Drug Offenses, Unclassified",Treptow-Köpenick,2023.0,10.04,3 Uhr,Unknown,Male,Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[{'place_id': 307454498, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 55754, 'boundingbox': ['52.3382448', '52.4977068', '13.4396363', '13.7611609'], 'lat': '52.417893', 'lon': '13.6001848', 'display_name': 'Treptow-Köpenick, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6585902714781207, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}]","{'place_id': 307454498, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 55754, 'boundingbox': ['52.3382448', '52.4977068', '13.4396363', '13.7611609'], 'lat': '52.417893', 'lon': '13.6001848', 'display_name': 'Treptow-Köpenick, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6585902714781207, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}",13.6001848,52.417893
130,08:48:00,2022-08-31 20:10:14.182771,2022,8,31,000012_1312384,1312384.0,"Property Damage, Verbal Abuse, General Assault","Tempelhof-Schöneberg, Friedrich-Wilhelm-Straße",2023.0,10.04,22.00 Uhr,Male,Female,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 131073094, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 104323165, 'boundingbox': ['52.4589242', '52.458942', '13.3761604', '13.3763236'], 'lat': '52.4589335', 'lon': '13.3762381', 'display_name': 'Friedrich-Wilhelm-Straße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12103, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.6100099999999999}, {'place_id': 135000519, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 116703661, 'boundingbox': ['52.4581621', '52.4581805', '13.3842723', '13.3844913'], 'lat': '52.4581659', 'lon': '13.3844501', 'display_name': 'Friedrich-Wilhelm-Straße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12099, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.6100099999999999}, {'place_id': 103305754, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4672554, 'boundingbox': ['52.4593531', '52.459361', '13.3708616', '13.3710037'], 'lat': '52.4593531', 'lon': '13.3710037', 'display_name': 'Friedrich-Wilhelm-Straße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12103, Deutschland', 'class': 'highway', 'type': 'service', 'importance': 0.5850099999999999}, {'place_id': 5717833, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 727729485, 'boundingbox': ['52.4583968', '52.4584968', '13.3759115', '13.3760115'], 'lat': '52.4584468', 'lon': '13.3759615', 'display_name': 'Friedrich-Wilhelm-Straße, Manteuffelstraße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12103, Deutschland', 'class': 'highway', 'type': 'bus_stop', 'importance': 0.51001, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_bus_stop2.p.20.png'}]","{'place_id': 131073094, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 104323165, 'boundingbox': ['52.4589242', '52.458942', '13.3761604', '13.3763236'], 'lat': '52.4589335', 'lon': '13.3762381', 'display_name': 'Friedrich-Wilhelm-Straße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12103, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.6100099999999999}",13.3762381,52.4589335
131,12:19:00,2022-12-03 20:10:14.182771,2022,12,3,000013_1312378,1312378.0,"Property Damage, Homicide","Prenzlauer Berg, Hanns-Eisler-Straße",2023.0,10.04,15.50 Uhr,Female,Unknown,1,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 304030265, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1090747843, 'boundingbox': ['52.5439948', '52.5445887', '13.443158', '13.4437605'], 'lat': '52.5439948', 'lon': '13.443158', 'display_name': 'Hanns-Eisler-Straße, Prenzlauer Berg, Pankow, Berlin, 10409, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.6000099999999999}, {'place_id': 144633981, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 156045564, 'boundingbox': ['52.5395542', '52.5399367', '13.4512475', '13.4520114'], 'lat': '52.5397039', 'lon': '13.4517674', 'display_name': 'Hanns-Eisler-Straße, Blumenviertel, Prenzlauer Berg, Pankow, Berlin, 10409, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.6000099999999999}, {'place_id': 144703368, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 156045566, 'boundingbox': ['52.5399367', '52.5403753', '13.4496539', '13.4512475'], 'lat': '52.5400923', 'lon': '13.4502408', 'display_name': 'Hanns-Eisler-Straße, Blumenviertel, Prenzlauer Berg, Pankow, Berlin, 10409, Deutschland', 'class': 'highway', 'type': 'service', 'importance': 0.5750099999999999}]","{'place_id': 304030265, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1090747843, 'boundingbox': ['52.5439948', '52.5445887', '13.443158', '13.4437605'], 'lat': '52.5439948', 'lon': '13.443158', 'display_name': 'Hanns-Eisler-Straße, Prenzlauer Berg, Pankow, Berlin, 10409, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.6000099999999999}",13.443158,52.5439948
132,17:24:00,2022-09-02 20:10:14.182771,2022,9,2,000014_1312377,1312377.0,"Property Damage, Unclassified","Krummenseer Straße, Marzahn-Hellersdorf",2023.0,8.04,19 Uhr,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[{'place_id': 130539318, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 99458482, 'boundingbox': ['52.541535', '52.5420141', '13.5706224', '13.5745887'], 'lat': '52.5417877', 'lon': '13.572455', 'display_name': 'Krummenseer Straße, Marzahn, Marzahn-Hellersdorf, Berlin, 12685, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.5100099999999999}, {'place_id': 117855944, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 35859217, 'boundingbox': ['52.5412577', '52.5416149', '13.5745631', '13.5762956'], 'lat': '52.541521', 'lon': '13.5753701', 'display_name': 'Krummenseer Straße, Marzahn, Marzahn-Hellersdorf, Berlin, 12685, Deutschland', 'class': 'highway', 'type': 'living_street', 'importance': 0.5100099999999999}]","{'place_id': 130539318, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 99458482, 'boundingbox': ['52.541535', '52.5420141', '13.5706224', '13.5745887'], 'lat': '52.5417877', 'lon': '13.572455', 'display_name': 'Krummenseer Straße, Marzahn, Marzahn-Hellersdorf, Berlin, 12685, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.5100099999999999}",13.572455,52.5417877
134,11:32:00,2022-09-08 20:10:14.182771,2022,9,8,000016_1312357,1312357.0,"General Assault, Verbal Abuse","Ernst-Keller-Brücke, Britz",2023.0,7.04,Mitternacht,Male,Male,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 168948026, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 245105752, 'boundingbox': ['52.4423616', '52.4428866', '13.4780253', '13.4788147'], 'lat': '52.4426246', 'lon': '13.47842068794369', 'display_name': 'Ernst-Keller-Brücke, Johannisthaler Chaussee, Britz, Neukölln, Berlin, Deutschland', 'class': 'man_made', 'type': 'bridge', 'importance': 0.41000999999999993}]","{'place_id': 168948026, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 245105752, 'boundingbox': ['52.4423616', '52.4428866', '13.4780253', '13.4788147'], 'lat': '52.4426246', 'lon': '13.47842068794369', 'display_name': 'Ernst-Keller-Brücke, Johannisthaler Chaussee, Britz, Neukölln, Berlin, Deutschland', 'class': 'man_made', 'type': 'bridge', 'importance': 0.41000999999999993}",13.47842068794369,52.4426246
135,01:37:00,2023-02-10 20:10:14.182771,2023,2,10,000017_1312356,1312356.0,"Property Crime, General Assault","Ostpreußendamm, Lichterfelde",2023.0,7.04,21.30 Uhr,Unknown,Male,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 102992092, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4724894, 'boundingbox': ['52.4209195', '52.4210619', '13.3100759', '13.3105022'], 'lat': '52.4209714', 'lon': '13.3102548', 'display_name': 'Ostpreußendamm, Giesensdorf, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12207, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.32000999999999996}, {'place_id': 134260902, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 114919626, 'boundingbox': ['52.4134708', '52.4137287', '13.3013134', '13.3015773'], 'lat': '52.4137287', 'lon': '13.3015773', 'display_name': 'Ostpreußendamm, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12207, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.32000999999999996}, {'place_id': 114993876, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 28425074, 'boundingbox': ['52.4257924', '52.4302496', '13.3167625', '13.3177593'], 'lat': '52.4279307', 'lon': '13.3177593', 'display_name': 'Ostpreußendamm, Giesensdorf, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12207, Deutschland', 'class': 'highway', 'type': 'tertiary', 'importance': 0.32000999999999996}, {'place_id': 116190029, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 30700683, 'boundingbox': ['52.4302496', '52.4306286', '13.3174327', '13.3175189'], 'lat': '52.4304328', 'lon': '13.3174666', 'display_name': 'Ostpreußendamm, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12207, Deutschland', 'class': 'highway', 'type': 'tertiary', 'importance': 0.32000999999999996}]","{'place_id': 102992092, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4724894, 'boundingbox': ['52.4209195', '52.4210619', '13.3100759', '13.3105022'], 'lat': '52.4209714', 'lon': '13.3102548', 'display_name': 'Ostpreußendamm, Giesensdorf, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12207, Deutschland', 'class': 'highway', 'type': 'secondary', 'importance': 0.32000999999999996}",13.3102548,52.4209714
136,05:19:00,2022-11-29 20:10:14.182771,2022,11,29,000001_1323865,1323865.0,"Robbery, General Assault, Verbal Abuse",Friedrichshain-Kreuzberg,2023.0,12.05,22 Uhr,Female,Male,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 307576146, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 55764, 'boundingbox': ['52.4827923', '52.5310256', '13.3682291', '13.4914434'], 'lat': '52.5011154', 'lon': '13.4442848', 'display_name': 'Friedrichshain-Kreuzberg, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6597369538449229, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}]","{'place_id': 307576146, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 55764, 'boundingbox': ['52.4827923', '52.5310256', '13.3682291', '13.4914434'], 'lat': '52.5011154', 'lon': '13.4442848', 'display_name': 'Friedrichshain-Kreuzberg, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6597369538449229, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}",13.4442848,52.5011154
137,23:09:00,2023-02-06 20:10:14.182771,2023,2,6,000002_1323864,1323864.0,"General Assault, Verbal Abuse",Alexanderplatz,2023.0,13.05,21.30 Uhr,Male,Male,3,6-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 261767431, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 783052052, 'boundingbox': ['52.5201457', '52.5238113', '13.4103097', '13.4160798'], 'lat': '52.52197645', 'lon': '13.413637435864272', 'display_name': 'Alexanderplatz, Mitte, Berlin, 10178, Deutschland', 'class': 'place', 'type': 'square', 'importance': 0.5814982526373583}, {'place_id': 45802928, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 3908141014, 'boundingbox': ['52.5165661', '52.5265661', '13.4062804', '13.4162804'], 'lat': '52.5215661', 'lon': '13.4112804', 'display_name': 'Alexanderplatz, Dircksenstraße, Mitte, Berlin, 10179, Deutschland', 'class': 'railway', 'type': 'station', 'importance': 0.5460990777880803, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_train_station2.p.20.png'}, {'place_id': 154735187, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 196497655, 'boundingbox': ['51.3249115', '51.3256645', '6.5617637', '6.5624328'], 'lat': '51.32545255', 'lon': '6.562017309604187', 'display_name': 'Alexanderplatz, Innenstadt, Krefeld-Mitte, Krefeld, Nordrhein-Westfalen, 47798, Deutschland', 'class': 'leisure', 'type': 'park', 'importance': 0.26000999999999996}, {'place_id': 145030793, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 158018097, 'boundingbox': ['53.3309575', '53.3317249', '13.0977153', '13.0985875'], 'lat': '53.3313714', 'lon': '13.098114095645595', 'display_name': 'Alexanderplatz, Strelitz-Alt, Neustrelitz, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, 17235, Deutschland', 'class': 'place', 'type': 'square', 'importance': 0.23500999999999997}, {'place_id': 6119318, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 811751308, 'boundingbox': ['50.4327527', '50.4328527', '7.6715163', '7.6716163'], 'lat': '50.4328027', 'lon': '7.6715663', 'display_name': 'Alexanderplatz, Höhr-Grenzhausen, Westerwaldkreis, Rheinland-Pfalz, 56203, Deutschland', 'class': 'place', 'type': 'square', 'importance': 0.23500999999999997}, {'place_id': 307692982, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1123165587, 'boundingbox': ['49.2049816', '49.2055937', '12.0832377', '12.0841631'], 'lat': '49.20537695', 'lon': '12.083822208246215', 'display_name': 'Alexanderplatz, Maxhütte, Maxhütte-Haidhof, Landkreis Schwandorf, Bayern, 93142, Deutschland', 'class': 'place', 'type': 'locality', 'importance': 0.23500999999999997, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_place_village.p.20.png'}, {'place_id': 197225536, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 378618337, 'boundingbox': ['49.2477068', '49.2477836', '8.0728366', '8.0730442'], 'lat': '49.247747149999995', 'lon': '8.07293156640625', 'display_name': 'Alexanderplatz, Burrweiler, Edenkoben, Landkreis Südliche Weinstraße, Rheinland-Pfalz, 76835, Deutschland', 'class': 'place', 'type': 'locality', 'importance': 0.23500999999999997, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_place_village.p.20.png'}, {'place_id': 196341131, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 380379371, 'boundingbox': ['46.8520003', '46.8523745', '9.531002', '9.5315557'], 'lat': '46.852186950000004', 'lon': '9.53130124212712', 'display_name': 'Alexanderplatz, Chur, Plessur, Graubünden/Grischun/Grigioni, Schweiz/Suisse/Svizzera/Svizra', 'class': 'highway', 'type': 'pedestrian', 'importance': 0.22043043518689398}, {'place_id': 113722297, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 25874150, 'boundingbox': ['51.3249047', '51.3256817', '6.5622691', '6.5624472'], 'lat': '51.3252454', 'lon': '6.5622691', 'display_name': 'Alexanderplatz, Innenstadt, Krefeld-Mitte, Krefeld, Nordrhein-Westfalen, 47798, Deutschland', 'class': 'highway', 'type': 'residential', 'importance': 0.21000999999999995}, {'place_id': 294699525, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1019408303, 'boundingbox': ['49.2471727', '49.247887', '7.3638006', '7.3648653'], 'lat': '49.2475242', 'lon': '7.364317820239827', 'display_name': 'Alexanderplatz, Stadtmitte, Zweibrücken, Rheinland-Pfalz, 66482, Deutschland', 'class': 'highway', 'type': 'pedestrian', 'importance': 0.21000999999999995}]","{'place_id': 261767431, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 783052052, 'boundingbox': ['52.5201457', '52.5238113', '13.4103097', '13.4160798'], 'lat': '52.52197645', 'lon': '13.413637435864272', 'display_name': 'Alexanderplatz, Mitte, Berlin, 10178, Deutschland', 'class': 'place', 'type': 'square', 'importance': 0.5814982526373583}",13.413637435864272,52.52197645
138,08:20:00,2023-05-03 20:10:14.182771,2023,5,3,000003_1323758,1323758.0,"General Assault, Verbal Abuse",Prenzlauer Berg,2023.0,12.05,15.30 Uhr,Male,Male,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 307888376, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 407713, 'boundingbox': ['52.5199276', '52.5585856', '13.396846', '13.4721073'], 'lat': '52.5398466', 'lon': '13.4285652', 'display_name': 'Prenzlauer Berg, Pankow, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6797244457981899, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}, {'place_id': 154475096, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 194995004, 'boundingbox': ['52.5282913', '52.52839', '13.4232096', '13.4237008'], 'lat': '52.5283441', 'lon': '13.4234544', 'display_name': 'Prenzlauer Berg, Winsviertel, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland', 'class': 'highway', 'type': 'unclassified', 'importance': 0.30000999999999994}, {'place_id': 126785521, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 82662288, 'boundingbox': ['52.5289608', '52.5292368', '13.4189472', '13.4199194'], 'lat': '52.5291479', 'lon': '13.419437349457645', 'display_name': 'Gleichrichterwerk 204 Prenzlauer Berg, 5, Prenzlauer Berg, Winsviertel, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland', 'class': 'place', 'type': 'house', 'importance': 0.20000999999999997}]","{'place_id': 307888376, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 407713, 'boundingbox': ['52.5199276', '52.5585856', '13.396846', '13.4721073'], 'lat': '52.5398466', 'lon': '13.4285652', 'display_name': 'Prenzlauer Berg, Pankow, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6797244457981899, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}",13.4285652,52.5398466
139,21:33:00,2022-10-22 20:10:14.182771,2022,10,22,000004_1323748,1323748.0,"Property Damage, Arso",Reinickendorf,2023.0,12.05,18.40 Uhr,Unknow,Unknow,0,Unknow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 307769049, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 16334, 'boundingbox': ['52.5488072', '52.6607411', '13.2016176', '13.3892817'], 'lat': '52.6047631', 'lon': '13.2952872', 'display_name': 'Reinickendorf, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.5723777537091662, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}, {'place_id': 307639758, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 16328, 'boundingbox': ['52.5581157', '52.5901246', '13.3003751', '13.3892817'], 'lat': '52.5711856', 'lon': '13.3455963', 'display_name': 'Reinickendorf, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.5499855020076913, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}]","{'place_id': 307769049, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 16334, 'boundingbox': ['52.5488072', '52.6607411', '13.2016176', '13.3892817'], 'lat': '52.6047631', 'lon': '13.2952872', 'display_name': 'Reinickendorf, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.5723777537091662, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}",13.2952872,52.6047631
141,07:09:00,2023-03-13 20:10:14.182771,2023,3,13,000006_1323582,1323582.0,"Property Damage, Arso",Marzahn-Hellersdorf,2023.0,12.05,Unknow,Unknow,Unknow,0,Unknow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 307863134, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 164712, 'boundingbox': ['52.4704779', '52.5745093', '13.5168837', '13.6585034'], 'lat': '52.5225225', 'lon': '13.5876634', 'display_name': 'Marzahn-Hellersdorf, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6501948440349123, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}, {'place_id': 99528535, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 9920312630, 'boundingbox': ['52.52755', '52.52765', '13.5895192', '13.5896192'], 'lat': '52.5276', 'lon': '13.5895692', 'display_name': 'Marzahn-Hellersdorf, Hellersdorfer Straße, Hellersdorf, Marzahn-Hellersdorf, Berlin, 12619, Deutschland', 'class': 'tourism', 'type': 'information', 'importance': 0.21000999999999997, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/amenity_information.p.20.png'}]","{'place_id': 307863134, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 164712, 'boundingbox': ['52.4704779', '52.5745093', '13.5168837', '13.6585034'], 'lat': '52.5225225', 'lon': '13.5876634', 'display_name': 'Marzahn-Hellersdorf, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6501948440349123, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}",13.5876634,52.5225225
142,23:25:00,2022-12-10 20:10:14.182771,2022,12,10,000001_1303315,1303315.0,"Property Damage, Arson","Schmöckwitz, Treptow-Köpenick",2023.0,12.03,1.15 Uhr,Unknown,Unknown,0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'place_id': 307871694, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 151950, 'boundingbox': ['52.3382448', '52.4010105', '13.6054691', '13.7098516'], 'lat': '52.3756651', 'lon': '13.6488551', 'display_name': 'Schmöckwitz, Treptow-Köpenick, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.7216022483564571, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}]","{'place_id': 307871694, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 151950, 'boundingbox': ['52.3382448', '52.4010105', '13.6054691', '13.7098516'], 'lat': '52.3756651', 'lon': '13.6488551', 'display_name': 'Schmöckwitz, Treptow-Köpenick, Berlin, Deutschland', 'class': 'boundary', 'type': 'administrative', 'importance': 0.7216022483564571, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png'}",13.6488551,52.3756651
